X_UTM,Y_UTM,X_NZTM,Y_NZTM,DISTANCE,GPS_ELEV,SP_mVolts,CO2_gm-2d-1,Remarks,X_NZTM_new,Y_NZTM_new,LiDAR_z
306373,5927226,1763316.541,5927859.769,0,8,0,0,,1763316.541,5927859.769,1.26
306387,5927214,1763330.025,5927847.196,20,13,-7.215339233,13.27368486,,1763330.025,5927847.196,3.34
306402,5927202,1763344.509,5927834.581,40,14,-11.43067847,4.693883832,,1763344.509,5927834.581,5.15
306418,5927190,1763359.991,5927821.924,60,12,-16.6460177,2.175817407,,1763359.991,5927821.924,6.15
306427,5927170,1763368.146,5927801.568,80,14,-24.86135693,0,,1763368.146,5927801.568,6.58
306438,5927157,1763378.592,5927788.122,100,14,-32.07669617,0,,1763378.592,5927788.122,7
306457,5927160,1763397.698,5927790.324,120,15,-44.2920354,0,,1763397.698,5927790.324,8.76
306473,5927171,1763414.141,5927800.645,140,20,-70.50737463,0,,1763414.141,5927800.645,10.8
306492,5927174,1763433.248,5927802.848,160,18,-58.72271386,0,,1763433.248,5927802.848,12.02
306512,5927176,1763453.311,5927804.01,180,18,-75.9380531,0,,1763453.311,5927804.01,12.94
306532,5927175,1763473.249,5927802.175,200,19,-74.15339233,0,,1763473.249,5927802.175,14.01
306553,5927177,1763494.312,5927803.295,220,21,-48.36873156,0,,1763494.312,5927803.295,14.39
306572,5927180,1763513.418,5927805.498,240,24,-45.5840708,0,,1763513.418,5927805.498,14.92
306591,5927185,1763532.608,5927809.699,260,23,-59.79941003,0,,1763532.608,5927809.699,15.77
306611,5927191,1763552.839,5927814.857,280,24,-89.01474926,0,,1763552.839,5927814.857,17.39
306630,5927196,1763572.028,5927819.058,300,26,-83.2300885,3.681828213,,1763572.028,5927819.058,18.34
306648,5927201,1763590.219,5927823.3,320,24,-79.44542773,0,,1763590.219,5927823.3,19.69
306669,5927206,1763611.407,5927827.418,340,27,-86.66076696,0,,1763611.407,5927827.418,21.03
306689,5927212,1763631.638,5927832.576,360,28,-109.8761062,0,,1763631.638,5927832.576,22.91
306708,5927211,1763650.577,5927830.783,380,31,-105.0914454,0,,1763650.577,5927830.783,24.38
306729,5927210,1763671.514,5927828.906,400,32,-113.3067847,0,,1763671.514,5927828.906,26.34
306747,5927205,1763689.287,5927823.159,420,35,-127.5221239,0,,1763689.287,5927823.159,27.68
306768,5927202,1763710.141,5927819.284,440,35,-117.7374631,0,,1763710.141,5927819.284,28.8
